,SibSp,Parch,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,ageN,FareN
0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5272978733282218,-0.5160171698064628
1,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5766884702256656,0.693558484423958
2,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.2513012874397499,-0.5032665608794588
3,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.36969103080931176,0.3500797476796701
4,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.36969103080931176,-0.5009053370040876
6,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.680674813779553,0.3267036313134957
7,3,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.907280802770581,-0.2548658091904152
8,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.18230214096763195,-0.442662444404633
9,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0792910451051654,-0.08493702728590581
10,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.7692825098263452,-0.3375086448284049
11,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.956671399668025,-0.15144420344915935
12,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.6652961662724577,-0.5009053370040876
13,1,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6456876166977836,-0.062189940960130426
14,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0792910451051654,-0.5046039580824689
15,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.749673960251671,-0.3507314985304833
16,4,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.907280802770581,-0.10280299161651395
18,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0936944449208399,-0.3129519165245451
20,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.36969103080931176,-0.16183358850079235
21,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3006918843371938,-0.4074008715393906
22,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.0102918986330476,-0.5012982446569494
23,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.11330299449551398,0.01761942602741402
24,3,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.4932859239378733,-0.2548658091904152
25,1,5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5766884702256656,-0.06006483947229639
27,3,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7342953127445757,4.315046879202883
30,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7146867631699015,-0.12932803614288313
33,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5086645714449687,-0.4546253490468133
34,1,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.11330299449551398,0.899221083968784
35,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8526850561141375,0.32930097757640403
37,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5962970198003398,-0.5009053370040876
38,2,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.8032944592166936,-0.3129519165245451
39,1,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0792910451051654,-0.4406147910599111
40,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7146867631699015,-0.4739873848248566
41,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.18230214096763195,-0.25628254351563784
43,1,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.8382816562984632,0.13245424349266374
44,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.7342953127445757,-0.5041317133073947
49,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.8032944592166936,-0.3167298747251389
50,4,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.5622850704099913,0.0967204258523471
51,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.5962970198003398,-0.5056277847548298
52,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.3356790814189632,0.7964303972470275
53,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.04430384802339602,-0.16183358850079235
54,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.439665424972851,0.5178059799532332
56,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.5962970198003398,-0.4546253490468133
57,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.078803421259455,-0.5164100774593247
58,1,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.7002833633542271,-0.12877645424559644
59,5,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.2862884845215194,0.23296304346126165
60,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.5272978733282218,-0.5164100774593247
62,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0596824955304913,0.9238571493948562
63,3,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.7692825098263452,-0.1259429855951511
66,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.04430384802339602,-0.4546253490468133
67,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.7342953127445757,-0.49885957263846603
68,4,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.8722936056888115,-0.5032665608794588
69,2,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.2513012874397499,-0.48933534001476897
70,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1626935913929579,-0.4546253490468133
71,5,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.9412927521609296,0.23296304346126165
72,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.5962970198003398,0.7354314841402395
