Demographic,Borough,Cohort,Total Cohort,Total Grads,Total Regents,Advanced Regents,Regents w/o Advanced ,Local,Still Enrolled,Dropped Out
Borough Total,Bronx,2001,11453,4913,2644,998,1646,2271,3512,2438
Borough Total,Brooklyn,2001,19961,9758,6177,2829,3348,3591,6101,3547
Borough Total,Manhattan,2001,12670,7480,4963,1851,3112,2519,2829,1962
Borough Total,Queens,2001,17011,9180,6452,2694,3758,2738,4679,2696
Borough Total,Staten Island,2001,3872,2565,1901,876,1025,665,786,417
English Language Learners,Bronx,2001,1984,388,78,10,68,311,799,592
English Language Learners,Brooklyn,2001,2543,691,268,116,152,424,1070,658
English Language Learners,Manhattan,2001,1956,691,237,49,188,454,592,527
English Language Learners,Queens,2001,2689,873,362,136,226,512,1023,673
English Language Learners,Staten Island,2001,171,42,16,4,12,26,78,38
English Proficient Students,Bronx,2001,9469,4525,2566,988,1578,1960,2713,1846
English Proficient Students,Brooklyn,2001,17418,9067,5909,2713,3196,3167,5031,2889
English Proficient Students,Manhattan,2001,10714,6789,4726,1802,2924,2065,2237,1435
English Proficient Students,Queens,2001,14322,8307,6090,2558,3532,2226,3656,2023
English Proficient Students,Staten Island,2001,3701,2523,1885,872,1013,639,708,379
Special Education,Bronx,2001,2259,309,40,6,34,271,561,866
Special Education,Brooklyn,2001,2702,402,69,11,58,339,869,947
Special Education,Manhattan,2001,1586,292,58,5,53,235,407,553
Special Education,Queens,2001,1999,419,63,14,49,359,559,643
Special Education,Staten Island,2001,622,184,26,2,24,158,184,160
General Education,Bronx,2001,9194,4604,2604,992,1612,2000,2951,1572
General Education,Brooklyn,2001,17259,9356,6108,2818,3290,3252,5232,2600
General Education,Manhattan,2001,11084,7188,4905,1846,3059,2284,2422,1409
General Education,Queens,2001,15012,8761,6389,2680,3709,2379,4120,2053
General Education,Staten Island,2001,3250,2381,1875,874,1001,507,602,257
Asian,Bronx,2001,638,479,396,314,82,84,92,60
Asian,Brooklyn,2001,2418,1543,1305,930,375,239,554,303
Asian,Manhattan,2001,1581,1265,1038,622,416,227,210,97
Asian,Queens,2001,4222,2836,2258,1273,985,580,885,452
Asian,Staten Island,2001,333,268,225,138,87,43,46,16
