Title,Date,Date Start,Date End,Language,Resource Type,Genre,Number of Items
Maps of North America.,,,,,,,591
Cigarette cards,1900,1900,1999,,still image,Cigarette cards,90
Billy Rose Theatre Collection photograph file,1865,1865,2005,,still image,Photographs,381
Thomas Addis Emmet collection,1483,1483,1876,English,text,Manuscripts,5160
Print Collection portrait file,1800,1800,1929,,still image | text,Clippings | Portraits | Illustrations | Prints | Photographs | Caricatures | Cartes de visite,10
Robert N. Dennis collection of stereoscopic views,1850,1850,1930,,still image,Stereoscopic views,42198
Mid-Manhattan Picture Collection,,,,,still image,"Clippings (Books, newspapers, etc.) | Prints | Postcards | Photographs",35
"Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library",1870,1870,1980,,still image,Photographs,1
The Vinkhuijzen collection of military uniforms,,,,English,still image,Scrapbooks | Drawings,30925
The Buttolph collection of menus,1851,1851,1930,,text,Menus,17947
New York World's Fair 1939-1940 records,1935,1935,1945,,text | still image,Architectural drawings | artifacts | Ephemera | Photographs | Posters | Archival Materials,1
Billy Rose Theatre Division scrapbooks,,,,,text | still image,Scrapbooks,13
American popular songs.,,,,,notated music,Sheet music covers | Sheet music,4725
Yaddo records,1870,1870,1980,English,text | still image,Archival materials | Documents | Correspondence | Photographs,1
Maps of New York City and State,,,,,cartographic,Atlases | Maps,1464
New York Public Library Visual Materials,1875,1875,,,mixed material,Photographs | blueprints | prints | Transparencies | Drawings,1224
Children's book illustrations,,,,,still image,Illustrations,5
"Robinson Locke Collection, 1870-1920.",1870,1870,1920,,mixed material,Photographs | Programs | Clippings | Scrapbooks,26
"Robert Brewster Stanton papers, 1851-1960, bulk (1890-1950)",1851,1851,1960,,mixed material,Diaries | photographs | Maps | field notes,70
Wonders: Images of the Ancient World,,,,,still image,clippings | Prints | Illustrations | Photographs,1
Samuel J. Tilden papers,1794,1794,1886,English,text,Documents | Correspondence | personal papers,1563
Holiday postcards,,,,,still image,Postcards,3
Bookbinding : books bequeathed by William Augustus Spencer.,1880,1880,1910,,three dimensional object,Bookbinding,704
Circle in the Square papers,1906,1906,2004,English,text | still image,Promotional materials | Photographs | technical drawings | Documents | Correspondence | scores,1
"Renaissance and medieval manuscripts collection, ca. 850-ca. 1600.",,,,,still image,illuminated manuscripts,1537
Pacific pursuits : Postcards,1900,1900,1940,,still image,postcards,619
Posters : arranged by artists.,1893,1893,1924,,still image,Posters,2
"Lawrence H. Slaughter Collection of English maps, charts, globes, books and atlases",1540,1540,1870,,cartographic | still image | text,Maps | Atlases,1020
Oscar Lion Collection,,,,English,text,Correspondence | Manuscripts | Scrapbooks,1
Farm Security Administration Photographs,,,,,still image,Photographs,2597
"The New-York City directory, for 1854-1855 : thirteenth publication",1854,1854,1855,,text,Directories,981
Denkmaeler aus Aegypten und Aethiopien nach den Zeichnungen der von seiner Majestat dem Koenige von Preussen Friedrich Wilhelm IV nach diesen Landern gesendeten und in den Jahren 1842-1845 ausgefuhrten wissenschaftlichen Expedition ...,1849,1849,1856,,still image,,932
Atlases of the United States,,,,,cartographic,Atlases | Maps,3836
I. N. Phelps Stokes Collection of American Historical Prints.,,,,,still image,Prints,755
Automobiles: Manufacturers catalogues.,1909,1909,,,still image,Manufacturer's catalogs,1
Staten Island post cards,,,,,still image,Postcards,766
Spezialkarte der Osterreichisch-Ungarischen Monarchie,1877,1877,1914,German,cartographic,Engravings | Maps,772
The Eno collection of New York City views.,,,,,,,701
Hortus Romanus juxta systems Tournefortianum paulo.,1772,1772,1793,,still image,Engravings -- Hand-colored,713
"[Scrap book of Russian bookjackets, 1917-1942].",1917,1917,1942,,still image,Book jackets,1
Portrait collection,,,,,still image,Photographs,6
Charles Dickens collection of papers,1833,1833,1975,English,text | still image,Archival materials,275
"Picturesque Palestine, Sinai and Egypt.",1881,1881,1884,,still image | text,Engravings,626
Wilberforce Eames Babylonian collection.,,,,,three dimensional object,Cuneiform,435
Print collection,,,,,still image,Prints,3
The A. G. Spalding Baseball Collection,,,,,still image,,572
Atlases of New York City,,,,,cartographic,Maps,10395
De la bataille judaïque,1492,1492,,"French, Old (ca. 842-1300)",text | still image,Books | Early printed books,534
Xanten Bible.,1294,1294,,Hebrew,text,Manuscripts,518
"Monuments de l'Égypte et de la Nubie, d'après les dessins exécutés sur les lieux sous la direction de Champollion-le-jeune, et les descriptions autographes qu'il en a rédigées; pub. sous les auspices de M. Guizot et de M. Thiers ... par une commission spéciale. Planches ...",1835,1835,1845,French,still image,Lithographs,512
"The birds of America, from drawings made in the United States and their territories. By John James Audubon",1840,1840,1844,English,still image,Prints | Books,506
Traité des arbres et arbustes que l'on cultive en France en pleine terre,1801,1801,1819,,still image,Stipple engravings,502
Les liliacées,1805,1805,1816,French,still image,Prints | Books,495
"A collection of the dresses of different nations, antient [sic] and modern. Particularly old English dresses; after the designs of Holbein, Vandyke, Hollar and others, with an account of the authorities from which the figures are taken, and some short historical remarks on the subject. To which are added the habits of the principal characters on the English stage.",1757,1757,1772,,still image,Prints | Books,492
"The people of India : A series of photographic illustrations, with  descriptive letterpress, of the races and tribes of Hindustan, originally prepared under the authority of the government of India, and reproduced  ...",1868,1868,1875,,still image,Photographs | Books,486
Jerome Robbins Dance Division Photograph files,,,,,still image,Photographs,9
"Allgemeine Naturgeschichte der Fische. French = Ichtylogie, ou Histoire naturelle : generale et particuliere  des poissons",1785,1785,1797,French,still image,Books | Prints,456
"Sheet music of songs from various musicals, plays, movies, and television.",,,,,notated music,Sheet music,15
"Voyage de la corvette l'Astrolabe exécuté par ordre du roi, pendant les années 1826-1827-1828-1829, sous le commandement de  M. J. Dumont d'Urville ...",1833,1833,,French,still image,Books | Prints | Maps,452
International Gay Information Center collection,1951,1951,1994,English,text | still image,Documents | Photographs | Audiotapes | Ephemera,1
"Beschryving van Spanjen en Portugal; waar in, op het naauwkeurigste, al het geene, dat, zoo ten opzigte van hunen ouden, als tegenwoordigen staat, aanmerkenswaardig, noodig en vermaakelijk om te weeten is, verhaald en door kunstige print-verbeeldingen en land-kaarten aangeweezen werd; dienende daar-en-boven, voor een kort begrijp der voornaamste geschiedenissen, staatsgevallen, regten, zeden en gewoontens deezer magtige koningrijken ...",1707,1707,,,,,1
"Woyzeck: Faksimile, Transkription, Emendation und Lesetext",2000,1836,,German,text | still image,Books,1
Spanish sketches,1911,1911,,English,still image | text,Travel sketches,1
"Bronx Municipal Terminal Market, constructed and operated by the Department of Public Markets of the city of New York at Exterior street and E. 151st street, borough of The Bronx, New York city.",1928,1928,,,text | still image,Pamphlets,1
"Atlases, gazetteers, guidebooks and other books",,,,,text | cartographic,Books | Maps,550
Eine Nachricht wegen der Landschaft Pennsilvania in America.,1683,1683,,German,text,,1
"Alciphron: or, The minute philosopher: in seven dialogues: containing an apology for the Christian religion against those who are called free-thinkers",1732,1732,,,still image | text,Controversial literature,1
"Photographs of Alabama, Georgia, Louisiana, Mississippi and unidentified locales in the Southeastern United States",1935,1935,1939,,still image,Photographs,1
"Final report, June 2, 1916.",1916,1916,,,,,1
"The ports, harbours, watering-places, and coast scenery of Great Britain ... views ... by W.H. Bartlett ... descriptions by W. Beattie.",1842,1842,,English,,Books,1
Art and architecture in the service of politics,1978,1978,,,,,1
Album comique.,1860,1860,,,still image,Lithographs,1
"Apiaria vniversæ philosophiæ mathematicæ, in qvibvs paradoxa, et noua pleraque machinamenta ad vsus eximios traducta, et facillimis demonstrationibus confirmata. Opvs non modo philosophis mathematicis, sed & physicis, anatomicis, militaribus viris, machinariæ, musicæ, poëticæ, agrariæ, architecturæ, mercaturæ professoribus, &c., vtilissimum ... Accessit ad finem secvndi tomi Evclides applicatvs, et condítus ex Apiarijs, indicatis vsibus eximijs præcipuarum propositionum in prioribus sex libris Euclideorum Elementorum. Accessere et analecta, &c., Avthore Mario Bettino ...",1645,1645,1655,Latin,,Books,1
Prim︠i︡echanī︠i︡a na Istorī︠i︡u drevnī︠i︡a i nyn︠i︡eshnī︠i︡a Rossīi g. Leklerka,1788,1788,,Russian,text | still image,Books,1
The World's advance-thought,1886,1886,1901,English,text,Periodicals,1
"Het tooneel der hooft-ketteren, bestaande in verscheyde afbeeltsels van valsche propheten, naackt-loopers, geest-dryvers, sectarisen en duyvels-konstenaren. By een vergadert, en in't kopergesneden door C. V. Sichem ...",1677,1677,,,still image,Engravings | Portraits,1
Wade genealogy : miscellaneous notes and letters.,1900,1900,1902,,text,Genealogy,1
"Journal of a residence in the Burmham empire, and more particularly at the court of Amarapoorah. by Capt. Hiram Cox.",1821,1821,,,,,1
Captivity of the Oatman girls : being an interesting narrative of life among the Apache and Mohave Indians ...,1858,1858,,English,text,Books,1
"Iconologia del cavaliere Cesare Ripa, perugino",1764,1764,1767,,,,1
I monumenti dell'Egitto e della Nubia disegnati dalla spedizione scientifico-letteraria toscana in Egitto; distribuiti in ordine di materie interpretati ed illustrati dal dottore Ippolito Rosellini.,1832,1832,1844,,still image,Books | Prints,407
The political house that Jack built : with thirteen cuts.,1819,1819,,English,text,Pamphlets,1
"Bickerstaff's Boston almanac, for the year of our redemption, 1782 ...",1781,1781,,English,text,Almanacs,1
Vestiges of the natural history of creation,1845,1845,,English,text,Books,1
"The Chouteau family: a genealogy of descendants and collateral branches, compiled by Beatrice Clark Turner",1934,1934,,English,still image,Books,1
Songs of Jamaica.,1912,1912,,,,,1
Dance observer,1934,1934,1964,English,still image | text,Periodicals,1
"Nova iconologia di Cesare Ripa pervgino, caualier de SS Mauritio, & Lazzaro. Nella quale si descriuono diuerse imagini di virtù, vitij, affetti, passioni humane, arti, discipline, humori, elementi, corpi celesti, prouincie d'Italia, fiumi, tutte le parti del mondo, ed' altre infinite materie. . . .",1618,1618,,Italian,text | still image,Books,1
"Fieldston, Riverdale-on-Hudson, upper New York City. [A booklet relating to the sale of real estate.]",1912,1912,,,,,1
"The Atlanta University bulletin, Series 2",1923,1923,,English,text,Periodicals,1
"Simeon North, first official pistol maker of the United States: a memoir",1913,1913,,English,still image | text,memoirs | biographies,1
"English counties delineated: or, A topographical description of England",1839,1839,,,cartographic,,1
Dicks' standard plays. Jane Eyre.,,,,,,,1
Solving the traffic problem,1926,1926,,English,still image | text,Books,1
"Puteshestvīe na Vostok Ego Imperatorskago Vysochestva Gosudar︠i︡a Nasl︠i︡ednika ︠T︡Sesarevicha, 1890-1891",1893,1893,1897,Russian,still image | text | cartographic,Books,1
"Monument de Ninive, découvert et décrit par M.P.E. Botta; mesuré et dessiné par M.E. Flandin. Ouvrage publié par ordre du gouvernement sous les auspices de M. le ministre de l'intérieur et sous la direction d'une commission de l'Institut ...",1849,1849,1850,,still image,Prints | Books,398
Tres relaciones de antigüedades peruanas,1879,1879,,Spanish | Quechua,still image | text,Manuscripts,1
The little mischief-maker: and other stories,1852,1852,,English,still image | text,children's books,1
"Opyt istoricheskago slovaria o rossīĭskikh pisateliakh: iz raznykh pechatnykh i rukopisnykh knig, soobshchennykh izviestīĭ, i slovesnykh predanïĭ",1772,1772,,Russian,,Books | Bio-bibliography,1
"Clippings of her newspaper column, Texas Guinan says, 1930-1931.",,,,,,,1
"Geschichte des russischen Reiches, von Karamsin.",1820,1820,1833,German,,Books,1
"Frankenstein, or, The modern Prometheus (1818) [title-page only]",1818,1818,,,text,,1
"Twenty-five years of girl scouting, 1912-1937",1937,1937,,,,Books | Photographs,1
"La Pucelle d'Orleans : poëme heroïcomique : manuscript, [175-?]",175-?,,,French,text,Manuscripts,396
Emmet Collection of Manuscripts Etc. Relating to American History.,,,,English,text,Prints | Documents,8917
"Viaje y descripción de las Indias, 1539-1553",1995,1995,,,still image | text,Books | biography,1
Birth control pioneer: the biography of Margaret Sanger,1938,1938,,English,text,Books,1
"Rossīĭskoe posolʹstvo v Konstantinopolʹ, 1776 goda",1777,1777,,Russian | French,text | still image,Books,1
Le conservatoire de la danse moderne; charges parisiennes,1845,1845,,,still image,Cartoons (Commentary),1
Plan for permanent world capitol at Flushing Meadow Park,1946,1946,,,,,1
Palaty Sanktpeterburgskoĭ Imperatorskoĭ akademii nauk biblioteki i kunstkamery ...,1744,1744,,Russian,text | still image,,1
"Views of ancient monuments in Central America, Chiapas and Yucatan",1844,1844,,,,,1
"Manuscript diary of an Italian journey, 23 Jul 1818-Aug 1819",1818,1818,1819,,,Manuscripts | Diaries,1
"Opisanīe Sibirskago ︠t︡sarstva i vs︠i︡ekh proizshedshikh v nem d︠i︡el: ot nachála, a osoblivo ot pokoreni︠i︡a ego Rossiĭskoĭ derzhav︠i︡e po sie vremena",1750,1750,,Russian,text | still image,Books,1
Drevn︠i︡a︠i︡a rossiĭska︠i︡a istori︠i︡a ot nachala rossiĭskago naroda do konchiny velikago kn︠i︡az︠i︡a ︠I︡Aroslava Pervago ili do 1054 goda,1766,1766,,Russian,text,Books,1
"Tom Treddlehoyle's Peep at t' Manchester Art-Treasures Exhebishan e 1857; an' uther wunderful things beside, 'at cum in hiz way i' T' City l' Manchester.",1857,1857,,,,,1
The pushcart problem in New York city,1917,1917,,English,text,,1
"Rossīĭskago kup︠t︡sa Grigorī︠i︡a Shelekhova stranstvovanīe v 1783 godu iz Okhotska po Vostochnomu okeanu k amerikanskim beregam, s obsto︠i︡atelʹnym uv︠i︡edomlenīem ob otkrytīi novoobr︠i︡etennykh im ostorovov Kyktaka i Afagnaka, i s priobshchenīem opisanī︠i︡a obraza zhizni, nravov, obr︠i︡adov, zhilishch i odezhdʹ tamoshnikh narodov, pokorivshikhs︠i︡a pod Rossīĭsku︠i︡u derzhavu, takzhe klimat, godovy︠i︡a peremeny, zveri, domashnī︠i︡a zhivotny︠i︡a, ryby, pti︠t︡sy, zemny︠i︡a proizrastanī︠i︡a i mnogīe drugīe l︠i︡ubopytnye predmety tam nakhod︠i︡ashchīes︠i︡a, chto vse verno i tochno opisano im samim, s chertezhem i so izobrazhenīem samogo morekhod︠t︡sa i naĭdenykh im dikikh l︠i︡udeĭ",1791,1791,1792,Russian,text | still image | cartographic,Books,1
Gomerova Iliada,1787,1787,,,,,1
Dictionnaire de physique: dédié a Monseigneur le duc de Berry,1761,1761,,French,still image | text,Encyclopedias & dictionaries,1
"Optice, sive, De reflexionibus, refractionibus, inflexionibus & coloribus lucis, libri tres",1719,1719,,Latin,text | still image,rare books,1
"An elegiac poem, on the death of that celebrated divine, and eminent servant of Jesus Christ, the Reverend and learned George Whitefield",1770,1770,,English,text,Poetry,1
"Bobby Shuttle un his woife Sayroh's visit to Manchester, un to th' greight Hert Treasures Eggshibishun, at Owd Trafford. Written for Bobby hissel by th' editor oth ""Bowton Luminary"" ...",1857,1857,,English,text,Pamphlets,1
The Opal,1852,1852,1856,,text | still image,,1
Narrative of the life of Frederick Douglass : an American slave,1845,1845,,,,,1
"Acropolis of Athens, illustrated picturesquely and architecturally in photography",1870,1870,,English,still image | text,Photographs,1
Pastorals,1627,1627,1630,,still image,Prints,1
"PM: an intimate journal for advertising production managers, art directors and their associates",1934,1934,,English,still image | text,Periodicals,1
"Beschryving van de plechtigheden nevens de lofdichten en gebeden : uitgesproken op het eerste jubelfeest van de synagogue der Portugeesche joodsche gemeente, op de savane in der colonie Suriname : genaamd zegen ev vrede, op den 12den van Wynmaand des jaars MDCCLXXXV.",1785,1785,,,,,1
The Exhibitor.,,,,,,,1
The Idler magazine.,1892,1892,1896,English,text | still image,Periodicals,1
The birds of Great Britain,1862,1862,1873,,still image,Prints | Books,382
